id,name,start_date_local,type,miles,moving_time,elapsed_time,total_elevation_gain,day_of_month,day_of_year,week,month,year,bear_peak_count,sanitas_count,second_flatiron_count,strength_count,plyo_count,indoor_climb_count,outdoor_climb_count,indoor_boulder_count,outdoor_boulder_count
7932003423,Mesa + Doudy w/Simon,2022-10-08,Ride,22.61,9242,9494,1555.12,8,281,40,October,2022,0,0,0,0,0,0,0,0,0
7917471139,Lunch Spin Heil,2022-10-05,Ride,3.72,1826,2835,305.12,5,278,40,October,2022,0,0,0,0,0,0,0,0,0
7922083163,Work commute ,2022-10-05,Ride,4.0,1200,1200,0.0,5,278,40,October,2022,0,0,0,0,0,0,0,0,0
7913080822,Sanitas ,2022-10-04,Run,7.89,8258,8567,1309.06,4,277,40,October,2022,0,1,0,0,0,0,0,0,0
7906824199,Anemone,2022-10-03,Run,4.44,4058,4423,866.14,3,276,40,October,2022,0,0,0,0,0,0,0,0,0
7901975277,Strength ,2022-10-02,WeightTraining,0.0,3600,3600,0.0,2,275,39,October,2022,0,0,0,1,0,0,0,0,0
7890815791,Anermoney,2022-09-30,Run,4.06,4517,5192,816.93,30,273,39,September,2022,0,0,0,0,0,0,0,0,0
7887452268,Strength ,2022-09-29,WeightTraining,0.0,3600,3600,0.0,29,272,39,September,2022,0,0,0,1,0,0,0,0,0
7877387011,Afternoon Run,2022-09-27,Run,3.01,2521,2859,613.52,27,270,39,September,2022,0,0,0,0,0,0,0,0,0
7872821950,Soccer,2022-09-26,Run,2.0,4500,4500,0.0,26,269,39,September,2022,0,0,0,0,0,0,0,0,0
7872819708,Soccer commute ,2022-09-26,Ride,4.0,1200,1200,0.0,26,269,39,September,2022,0,0,0,0,0,0,0,0,0
7860811306,Mesall Marsha,2022-09-24,Ride,15.22,6468,8513,1010.5,24,267,38,September,2022,0,0,0,0,0,0,0,0,0
7856919378,Betassooo,2022-09-23,Ride,7.15,3262,5233,777.56,23,266,38,September,2022,0,0,0,0,0,0,0,0,0
7852244805,Strength,2022-09-22,WeightTraining,0.0,3600,3600,0.0,22,265,38,September,2022,0,0,0,1,0,0,0,0,0
7841351723,Walker Loop,2022-09-20,Ride,8.0,5919,6466,1509.51,20,263,38,September,2022,0,0,0,0,0,0,0,0,0
7836186396,Soccer commute ,2022-09-19,Ride,4.0,1200,1200,0.0,19,262,38,September,2022,0,0,0,0,0,0,0,0,0
7836172531,Soccer,2022-09-19,Run,2.0,4500,4500,0.0,19,262,38,September,2022,0,0,0,0,0,0,0,0,0
7819069266,Mesa Marshall ,2022-09-16,Ride,20.56,8132,8766,1377.95,16,259,37,September,2022,0,0,0,0,0,0,0,0,0
7815141815,Sanitas,2022-09-15,Run,4.01,5053,6922,1689.63,15,258,37,September,2022,0,1,0,0,0,0,0,0,0
7804651808,Strength ,2022-09-13,WeightTraining,0.0,2400,2400,0.0,13,256,37,September,2022,0,0,0,1,0,0,0,0,0
7799124987,Soccer,2022-09-12,Run,2.0,5400,5400,0.0,12,255,37,September,2022,0,0,0,0,0,0,0,0,0
7771593896,Heil Ranch,2022-09-07,Ride,4.62,2024,2208,334.65,7,250,36,September,2022,0,0,0,0,0,0,0,0,0
7756047896,Rocky Mountain Cup: Game 4,2022-09-04,Run,2.0,3600,3600,0.0,4,247,35,September,2022,0,0,0,0,0,0,0,0,0
7755482518,Rocky Mountain Cup: Game 3,2022-09-04,Run,2.0,3600,3600,0.0,4,247,35,September,2022,0,0,0,0,0,0,0,0,0
7750010542,Rocky Mountain Cup: Game 2,2022-09-03,Run,2.0,3600,3600,0.0,3,246,35,September,2022,0,0,0,0,0,0,0,0,0
7749263466,Rocky Mountain Cup: Game 1,2022-09-03,Run,2.0,3600,3600,0.0,3,246,35,September,2022,0,0,0,0,0,0,0,0,0
7734520218,Soccer,2022-08-31,Run,4.0,5400,5400,0.0,31,243,35,August,2022,0,0,0,0,0,0,0,0,0
7716538379,Soccer,2022-08-28,Run,3.0,5400,5400,0.0,28,240,34,August,2022,0,0,0,0,0,0,0,0,0
7710456990,Morning Ride,2022-08-27,Ride,17.71,4985,4985,403.54,27,239,34,August,2022,0,0,0,0,0,0,0,0,0
7728730583,Work commute ,2022-08-26,Ride,4.0,1200,1200,0.0,26,238,34,August,2022,0,0,0,0,0,0,0,0,0
7706182248,Afternoon Run,2022-08-25,Run,3.02,2086,2203,88.58,25,237,34,August,2022,0,0,0,0,0,0,0,0,0
7677152418,Soccer,2022-08-21,Run,3.0,5400,5400,0.0,21,233,33,August,2022,0,0,0,0,0,0,0,0,0
7666940839,Afternoon Ride,2022-08-19,Ride,18.31,5049,8803,521.65,19,231,33,August,2022,0,0,0,0,0,0,0,0,0
7662094841,Sanitas,2022-08-18,Run,2.49,4363,4473,1131.89,18,230,33,August,2022,0,1,0,0,0,0,0,0,0
7662116511,Work commute,2022-08-18,Ride,4.0,1200,1200,0.0,18,230,33,August,2022,0,0,0,0,0,0,0,0,0
7656367582,Rez + BVR stuff,2022-08-17,Ride,22.52,6900,8611,728.35,17,229,33,August,2022,0,0,0,0,0,0,0,0,0
7656386408,Office To & Fro',2022-08-17,Ride,4.0,1200,1200,0.0,17,229,33,August,2022,0,0,0,0,0,0,0,0,0
7650678589,Afternoon Run,2022-08-16,Run,2.48,2448,2497,629.92,16,228,33,August,2022,0,0,0,0,0,0,0,0,0
7604726918,Lunch Run,2022-08-08,Run,2.53,1813,1839,39.37,8,220,32,August,2022,0,0,0,0,0,0,0,0,0
7599814103,Soccer ,2022-08-07,Run,5.0,7200,7200,0.0,7,219,31,August,2022,0,0,0,0,0,0,0,0,0
7579067088,Strength ,2022-08-03,WeightTraining,0.0,2400,2400,0.0,3,215,31,August,2022,0,0,0,1,0,0,0,0,0
7573489020,Soccer,2022-08-02,Run,4.0,5400,5400,0.0,2,214,31,August,2022,0,0,0,0,0,0,0,0,0
7567155723,Afternoon Run,2022-08-01,Run,2.41,1716,1983,45.93,1,213,31,August,2022,0,0,0,0,0,0,0,0,0
7555418744,Brainard deproach,2022-07-30,Ride,3.31,596,596,39.37,30,211,30,July,2022,0,0,0,0,0,0,0,0,0
7555418796,Pawnee Peak ,2022-07-30,Run,10.34,14593,15712,2519.69,30,211,30,July,2022,0,0,0,0,0,0,0,0,0
7555402538,Brainard approach ,2022-07-30,Ride,3.25,1511,1627,413.39,30,211,30,July,2022,0,0,0,0,0,0,0,0,0
7534833412,Soccer,2022-07-26,Run,3.0,5400,5400,0.0,26,207,30,July,2022,0,0,0,0,0,0,0,0,0
7528881665,Sunset Trails -> Coal Creek Loop,2022-07-25,Ride,14.29,4662,4737,561.02,25,206,30,July,2022,0,0,0,0,0,0,0,0,0
7516864965,Mt Parnassus & Woods Mountain ,2022-07-23,Run,8.01,15039,16388,3628.61,23,204,29,July,2022,0,0,0,0,0,0,0,0,0
7507655358,Coal Creek Spin,2022-07-21,Ride,12.53,3900,5050,305.12,21,202,29,July,2022,0,0,0,0,0,0,0,0,0
7507790240,Strength ,2022-07-20,WeightTraining,0.0,1800,1800,0.0,20,201,29,July,2022,0,0,0,1,0,0,0,0,0
7502305961,Erie Singletrack ,2022-07-20,Ride,13.53,4551,4959,659.45,20,201,29,July,2022,0,0,0,0,0,0,0,0,0
7500592510,Coffee commute,2022-07-20,Ride,4.93,1530,8191,137.8,20,201,29,July,2022,0,0,0,0,0,0,0,0,0
7485573066,Soccer,2022-07-17,Run,4.0,5400,5400,0.0,17,198,28,July,2022,0,0,0,0,0,0,0,0,0
7474682531,Bear Peak ,2022-07-15,Run,5.23,10985,11706,2753.28,15,196,28,July,2022,1,0,0,0,0,0,0,0,0
7465139991,Afternoon Ride,2022-07-13,Ride,14.69,4746,5148,551.18,13,194,28,July,2022,0,0,0,0,0,0,0,0,0
7453880791,Strength ,2022-07-11,WeightTraining,0.0,3600,3600,0.0,11,192,28,July,2022,0,0,0,1,0,0,0,0,0
7447652167,Soccer,2022-07-10,Run,4.0,5400,5400,0.0,10,191,27,July,2022,0,0,0,0,0,0,0,0,0
7441951167,Sanitas ,2022-07-09,Run,3.21,4060,6129,1279.53,9,190,27,July,2022,0,1,0,0,0,0,0,0,0
7437280522,Coal Creek Mining District ,2022-07-08,Ride,23.48,7175,7673,728.35,8,189,27,July,2022,0,0,0,0,0,0,0,0,0
7432596402,Afternoon Run,2022-07-07,Run,2.62,1832,1844,49.21,7,188,27,July,2022,0,0,0,0,0,0,0,0,0
7427174023,Afternoon Run,2022-07-06,Run,0.43,516,1541,127.95,6,187,27,July,2022,0,0,0,0,0,0,0,0,0
7421675684,Strength ,2022-07-05,WeightTraining,0.0,1800,1800,0.0,5,186,27,July,2022,0,0,0,1,0,0,0,0,0
7410553915,Suburbia Gravel,2022-07-03,Ride,30.03,9385,10416,889.11,3,184,26,July,2022,0,0,0,0,0,0,0,0,0
7404993133,2nd Flatiron -> Green,2022-07-02,Run,5.73,14867,15289,2739.5,2,183,26,July,2022,0,0,1,0,0,0,0,0,0
7395554045,Dog jog,2022-06-30,Run,3.03,2220,2308,88.25,30,181,26,June,2022,0,0,0,0,0,0,0,0,0
7373863155,Stormrunner,2022-06-26,Run,7.04,7900,8019,1535.43,26,177,25,June,2022,0,0,0,0,0,0,0,0,0
7367722247,Singletrack rip,2022-06-25,Ride,14.23,5822,9524,1243.44,25,176,25,June,2022,0,0,0,0,0,0,0,0,0
7341304930,Buffalo Mountain pt. 2,2022-06-20,Run,1.71,1767,2641,7.22,20,171,25,June,2022,0,0,0,0,0,0,0,0,0
7341108155,Buffalo Mountain pt. 1,2022-06-20,Run,4.83,6363,13835,3700.79,20,171,25,June,2022,0,0,0,0,0,0,0,0,0
7330715400,You can't fight the feeeeeling,2022-06-18,Run,7.02,6121,6597,1233.6,18,169,24,June,2022,0,0,0,0,0,0,0,0,0
7321348492,Strength ,2022-06-16,WeightTraining,0.0,3000,3000,0.0,16,167,24,June,2022,0,0,0,1,0,0,0,0,0
7315875467,Is Wayne Brady gonna have to Djokovic?,2022-06-15,Run,4.79,4922,5221,951.44,15,166,24,June,2022,0,0,0,0,0,0,0,0,0
7309971192,Oh that little guy? I wouldn't worry about that little guy ,2022-06-14,Run,3.05,3115,3232,682.41,14,165,24,June,2022,0,0,0,0,0,0,0,0,0
7298735183,Royále,2022-06-12,Run,3.23,4201,6203,1363.52,12,163,23,June,2022,0,0,0,0,0,0,0,0,0
7293178199,Whoop that track,2022-06-11,Ride,15.38,6827,10142,1351.71,11,162,23,June,2022,0,0,0,0,0,0,0,0,0
7286625158,Local Hill Tour,2022-06-10,Run,4.59,4332,4333,974.41,10,161,23,June,2022,0,0,0,0,0,0,0,0,0
7282787480,Plyo / Strength ,2022-06-09,WeightTraining,0.0,2700,2700,0.0,9,160,23,June,2022,0,0,0,1,1,0,0,0,0
7287541076,Powerhairs,2022-06-08,Run,4.15,5001,5003,643.37,8,159,23,June,2022,0,0,0,0,0,0,0,0,0
7373880497,Afternoon Run,2022-06-08,Run,4.17,4580,5022,675.85,8,159,23,June,2022,0,0,0,0,0,0,0,0,0
7266973893,Incline -> Powerhair,2022-06-06,Run,2.66,2366,2369,564.3,6,157,23,June,2022,0,0,0,0,0,0,0,0,0
7261413243,Chihuahua Gulch,2022-06-05,Run,2.01,2552,4071,482.28,5,156,22,June,2022,0,0,0,0,0,0,0,0,0
7256154034,Strength,2022-06-04,WeightTraining,0.0,2700,2700,0.0,4,155,22,June,2022,0,0,0,1,0,0,0,0,0
7170594815,Afternoon Run,2022-05-19,Run,4.01,2581,2606,127.95,19,139,20,May,2022,0,0,0,0,0,0,0,0,0
7159663810,Lunch Run,2022-05-17,Run,1.86,1459,1688,401.25,17,137,20,May,2022,0,0,0,0,0,0,0,0,0
7154808904,Plyo / Strength ,2022-05-16,WeightTraining,0.0,2400,2400,0.0,16,136,20,May,2022,0,0,0,1,1,0,0,0,0
7143303881,Beer deproach,2022-05-14,Ride,2.66,983,1035,133.2,14,134,19,May,2022,0,0,0,0,0,0,0,0,0
7164267868,Morning Ride,2022-05-14,Ride,32.03,9756,11374,1883.2,14,134,19,May,2022,0,0,0,0,0,0,0,0,0
7143193902,Hero Sand w/Jason,2022-05-14,Ride,32.05,10003,11457,1748.36,14,134,19,May,2022,0,0,0,0,0,0,0,0,0
7137700859,Strength ,2022-05-13,WeightTraining,0.0,1800,1800,0.0,13,133,19,May,2022,0,0,0,1,0,0,0,0,0
7136716742,Morning Ride ,2022-05-13,Ride,9.71,3164,4814,751.31,13,133,19,May,2022,0,0,0,0,0,0,0,0,0
7122060471,Mosquito ,2022-05-10,Run,2.59,2788,3768,395.34,10,130,19,May,2022,0,0,0,0,0,0,0,0,0
7116099580,Strength ,2022-05-09,WeightTraining,0.0,2700,2700,0.0,9,129,19,May,2022,0,0,0,1,0,0,0,0,0
7110240911,Plyo,2022-05-08,WeightTraining,0.0,1800,1800,0.0,8,128,18,May,2022,0,0,0,0,1,0,0,0,0
7104955045,Halfmoon creek,2022-05-07,Ride,21.7,7081,7358,1151.57,7,127,18,May,2022,0,0,0,0,0,0,0,0,0
7093956787,Lunch Run,2022-05-05,Run,1.14,1453,2044,633.2,5,125,18,May,2022,0,0,0,0,0,0,0,0,0
7078754388,Iowa Gulch ,2022-05-02,BackcountrySki,3.43,2947,3829,574.15,2,122,18,May,2022,0,0,0,0,0,0,0,0,0
7072778520,Iowa Gulch Skin,2022-05-01,BackcountrySki,2.87,2649,3579,449.48,1,121,17,May,2022,0,0,0,0,0,0,0,0,0
7065167670,Plyo / Strength ,2022-04-29,WeightTraining,0.0,3600,3600,0.0,29,119,17,April,2022,0,0,0,1,1,0,0,0,0
7046487928,Afternoon Run,2022-04-26,Run,2.2,2241,2407,209.97,26,116,17,April,2022,0,0,0,0,0,0,0,0,0
7041471363,Plyo / Strength ,2022-04-25,WeightTraining,0.0,3600,3600,0.0,25,115,17,April,2022,0,0,0,1,1,0,0,0,0
7041221213,Run,2022-04-25,Run,0.5,360,360,0.0,25,115,17,April,2022,0,0,0,0,0,0,0,0,0
7041185611,Afternoon Run,2022-04-25,Run,1.92,1330,1776,59.06,25,115,17,April,2022,0,0,0,0,0,0,0,0,0
7035936555,Afternoon Run,2022-04-24,Run,0.48,575,967,236.22,24,114,16,April,2022,0,0,0,0,0,0,0,0,0
7029759288,Lunch Run,2022-04-23,Run,4.51,3249,3270,354.33,23,113,16,April,2022,0,0,0,0,0,0,0,0,0
7025037297,Strength ,2022-04-22,WeightTraining,0.0,1800,1800,0.0,22,112,16,April,2022,0,0,0,1,0,0,0,0,0
7020546974,Caves -> Walrod,2022-04-21,Run,6.01,7324,7452,1551.84,21,111,16,April,2022,0,0,0,0,0,0,0,0,0
7010201737,Strength ,2022-04-19,WeightTraining,0.0,3600,3600,0.0,19,109,16,April,2022,0,0,0,1,0,0,0,0,0
